Branch,City,category,total_profit,total_revenue,profit_pct
WALM068,Burleson,"Sports and travel",526.64,1595.88,33
WALM055,Waxahachie,"Sports and travel",85.35,258.65,33
WALM002,Dallas,"Electronic accessories",387.52,1076.44,36
WALM062,Galveston,"Health and beauty",326.61,989.74,33
WALM098,"Mineral Wells","Fashion accessories",692.27,3845.97,18
WALM093,Angleton,"Home and lifestyle",1150.88,3487.52,33
WALM097,Alice,"Food and beverages",111.15,617.48,18
WALM054,Sherman,"Health and beauty",55.56,264.56,21
WALM070,Hurst,"Sports and travel",175.67,532.32,33
WALM099,Weatherford,"Fashion accessories",1411.25,7840.3,18
WALM071,Lufkin,"Food and beverages",92,278.78,33
WALM078,"Del Rio","Sports and travel",245.04,742.56,33
WALM074,Weslaco,"Food and beverages",418.68,1268.73,33
WALM100,Canyon,"Health and beauty",246.01,1366.71,18
WALM094,Alamo,"Sports and travel",260.63,789.78,33
WALM084,Schertz,"Sports and travel",136.92,414.9,33
WALM057,Euless,"Food and beverages",651.59,1974.52,33
WALM069,Rockwall,"Food and beverages",288.93,875.56,33
WALM089,Southlake,"Sports and travel",320.93,972.51,33
WALM060,DeSoto,"Home and lifestyle",1401.73,4247.67,33
WALM073,Seguin,"Food and beverages",58.53,177.36,33
WALM059,Pflugerville,"Fashion accessories",1538.94,4663.46,33
WALM086,Rosenberg,"Health and beauty",85.93,260.4,33
WALM073,Seguin,"Fashion accessories",2456.46,7443.82,33
WALM072,Lancaster,"Food and beverages",237.03,718.28,33
WALM084,Schertz,"Home and lifestyle",3752.35,11370.76,33
WALM059,Pflugerville,"Home and lifestyle",988.39,2995.12,33
WALM062,Galveston,"Fashion accessories",1552.2,4703.64,33
WALM066,Grapevine,"Fashion accessories",1290.09,3909.36,33
WALM079,"La Porte","Health and beauty",91.77,278.08,33
WALM002,Dallas,"Home and lifestyle",1118.91,3108.09,36
WALM094,Alamo,"Health and beauty",140.6,426.05,33
WALM100,Canyon,"Sports and travel",89.53,497.41,18
WALM086,Rosenberg,"Electronic accessories",593.34,1797.99,33
WALM065,"Texas City","Home and lifestyle",2852.14,8642.85,33
WALM085,Kerrville,"Health and beauty",135.24,409.83,33
WALM055,Waxahachie,"Home and lifestyle",2749.82,8332.78,33
WALM093,Angleton,"Sports and travel",279.84,848.01,33
WALM065,"Texas City","Sports and travel",194.51,589.43,33
WALM081,Friendswood,"Electronic accessories",93.69,283.92,33
WALM056,Rowlett,"Food and beverages",322.79,978.16,33
WALM067,"Haltom City","Sports and travel",57.53,174.32,33
WALM059,Pflugerville,"Health and beauty",513.95,1557.42,33
WALM068,Burleson,"Electronic accessories",48.92,148.24,33
WALM087,Waxahachie,"Home and lifestyle",3249.17,9845.98,33
WALM069,Rockwall,"Health and beauty",196.42,595.2,33
WALM068,Burleson,"Health and beauty",28.73,87.05,33
WALM085,Kerrville,"Fashion accessories",1201.43,3640.69,33
WALM077,Coppell,"Fashion accessories",1219.48,3695.39,33
WALM070,Hurst,"Home and lifestyle",1197.4,3628.48,33
WALM055,Waxahachie,"Fashion accessories",3058.7,9268.8,33
WALM078,"Del Rio","Fashion accessories",1352.4,4098.18,33
WALM066,Grapevine,"Sports and travel",9.5,28.78,33
WALM100,Canyon,"Electronic accessories",82.98,460.98,18
WALM074,Weslaco,"Electronic accessories",752.14,2279.21,33
WALM099,Weatherford,"Sports and travel",134.1,745,18
WALM075,"San Marcos","Sports and travel",374.62,1135.22,33
WALM081,Friendswood,"Food and beverages",487.16,1476.24,33
WALM094,Alamo,"Home and lifestyle",1156.93,3505.86,33
WALM056,Rowlett,"Fashion accessories",2659.03,8057.67,33
WALM091,"Little Elm","Fashion accessories",1316.82,3990.36,33
WALM073,Seguin,"Home and lifestyle",2705.23,8197.68,33
WALM094,Alamo,"Food and beverages",112.06,339.57,33
WALM074,Weslaco,"Home and lifestyle",3840.5,11637.88,33
WALM085,Kerrville,"Home and lifestyle",1123.08,3403.28,33
WALM100,Canyon,"Fashion accessories",409.08,2272.64,18
WALM053,Conroe,"Electronic accessories",132.69,631.84,21
WALM088,Cleburne,"Sports and travel",284.38,861.75,33
WALM075,"San Marcos","Electronic accessories",861.37,2610.2,33
WALM091,"Little Elm","Electronic accessories",277.08,839.65,33
WALM086,Rosenberg,"Home and lifestyle",2386.49,7231.78,33
WALM076,Huntsville,"Food and beverages",158.37,479.9,33
WALM070,Hurst,"Fashion accessories",928.65,2814.1,33
WALM095,"Big Spring","Electronic accessories",370.58,1122.97,33
WALM082,Weslaco,"Electronic accessories",533.23,1615.84,33
WALM081,Friendswood,"Sports and travel",24.74,74.97,33
WALM070,Hurst,"Food and beverages",249.4,755.76,33
WALM002,Dallas,"Food and beverages",103.58,287.73,36
WALM089,Southlake,"Home and lifestyle",3004.69,9105.11,33
WALM079,"La Porte","Fashion accessories",1390.11,4212.46,33
WALM072,Lancaster,"Electronic accessories",210.26,637.14,33
WALM096,"Eagle Pass","Home and lifestyle",1255.88,4758.42,26.39
WALM091,"Little Elm","Food and beverages",173.52,525.82,33
WALM074,Weslaco,"Fashion accessories",3261.4,9883.03,33
WALM066,Grapevine,"Food and beverages",166.84,505.58,33
WALM002,Dallas,"Fashion accessories",1083.06,3008.5,36
WALM075,"San Marcos","Food and beverages",251.33,761.61,33
WALM092,"Lake Jackson","Home and lifestyle",668.72,2026.42,33
WALM098,"Mineral Wells","Electronic accessories",120.08,667.09,18
WALM055,Waxahachie,"Food and beverages",38.21,115.8,33
WALM084,Schertz,"Fashion accessories",3202.85,9705.6,33
WALM062,Galveston,"Electronic accessories",236.24,715.88,33
WALM001,Houston,"Sports and travel",545.86,1516.29,36
WALM063,Georgetown,"Health and beauty",8.93,27.07,33
WALM077,Coppell,"Sports and travel",12.91,39.12,33
WALM099,Weatherford,"Electronic accessories",131.81,732.26,18
WALM077,Coppell,"Electronic accessories",250.97,760.53,33
WALM068,Burleson,"Food and beverages",104.96,318.05,33
WALM080,Nacogdoches,"Food and beverages",683.87,2072.32,33
WALM064,Bedford,"Food and beverages",129.06,391.1,33
WALM086,Rosenberg,"Food and beverages",574.83,1741.9,33
WALM071,Lufkin,"Electronic accessories",32.62,98.84,33
WALM059,Pflugerville,"Sports and travel",344.64,1044.36,33
WALM057,Euless,"Electronic accessories",45.41,137.6,33
WALM078,"Del Rio","Food and beverages",263.6,798.8,33
WALM066,Grapevine,"Electronic accessories",108.24,328,33
WALM080,Nacogdoches,"Home and lifestyle",1142.06,3460.8,33
WALM003,"San Antonio","Sports and travel",179.81,499.46,36
WALM060,DeSoto,"Sports and travel",65.33,197.96,33
WALM080,Nacogdoches,"Fashion accessories",1392.98,4221.14,33
WALM063,Georgetown,"Home and lifestyle",1638.52,4965.2,33
WALM081,Friendswood,"Fashion accessories",1039.76,3150.78,33
WALM098,"Mineral Wells","Food and beverages",97.46,541.44,18
WALM073,Seguin,"Sports and travel",32.38,98.13,33
WALM071,Lufkin,"Sports and travel",182.1,551.81,33
WALM087,Waxahachie,"Sports and travel",94.15,285.29,33
WALM059,Pflugerville,"Food and beverages",255.58,774.48,33
WALM077,Coppell,"Health and beauty",173.8,526.68,33
WALM057,Euless,"Sports and travel",503.11,1524.59,33
WALM059,Pflugerville,"Electronic accessories",198.14,600.41,33
WALM097,Alice,"Home and lifestyle",570.24,3168.02,18
WALM074,Weslaco,"Sports and travel",150.83,457.05,33
WALM095,"Big Spring","Fashion accessories",1455.04,4409.22,33
WALM073,Seguin,"Health and beauty",264.52,801.57,33
WALM082,Weslaco,"Fashion accessories",2882.67,8735.36,33
WALM085,Kerrville,"Food and beverages",48.44,146.79,33
WALM082,Weslaco,"Home and lifestyle",3245.88,9836.01,33
WALM063,Georgetown,"Fashion accessories",1220.86,3699.58,33
WALM062,Galveston,"Food and beverages",173.21,524.88,33
WALM091,"Little Elm","Sports and travel",26.64,80.72,33
WALM096,"Eagle Pass","Fashion accessories",913.09,5072.7,18
WALM061,"Cedar Park","Electronic accessories",156.5,474.24,33
WALM089,Southlake,"Electronic accessories",397.44,1204.36,33
WALM090,Brownwood,"Sports and travel",379.2,1149.08,33
WALM083,"Farmers Branch","Fashion accessories",1360.38,4122.36,33
WALM082,Weslaco,"Sports and travel",170.89,517.86,33
WALM092,"Lake Jackson","Sports and travel",203.01,615.18,33
WALM095,"Big Spring","Health and beauty",766.48,2322.68,33
WALM001,Houston,"Fashion accessories",1051.44,2920.68,36
WALM081,Friendswood,"Health and beauty",245.87,745.06,33
WALM080,Nacogdoches,"Electronic accessories",51.18,155.08,33
WALM064,Bedford,"Fashion accessories",1009.14,3057.99,33
WALM069,Rockwall,"Fashion accessories",3411.94,10339.21,33
WALM001,Houston,"Electronic accessories",349.07,969.63,36
WALM058,"Port Arthur","Home and lifestyle",3658.56,11086.56,33
WALM098,"Mineral Wells","Home and lifestyle",610.6,3392.24,18
WALM060,DeSoto,"Health and beauty",110.5,334.86,33
WALM073,Seguin,"Electronic accessories",479.18,1452.07,33
WALM054,Sherman,"Fashion accessories",2135.82,9397.41,22.73
WALM093,Angleton,"Fashion accessories",882.93,2675.56,33
WALM062,Galveston,"Sports and travel",148.02,448.56,33
WALM085,Kerrville,"Electronic accessories",13.03,39.48,33
WALM063,Georgetown,"Sports and travel",45.7,138.48,33
WALM058,"Port Arthur","Sports and travel",48.1,145.76,33
WALM083,"Farmers Branch","Food and beverages",170.5,516.66,33
WALM079,"La Porte","Home and lifestyle",1029.85,3120.76,33
WALM061,"Cedar Park","Fashion accessories",1047.51,3174.28,33
WALM057,Euless,"Health and beauty",58.87,178.4,33
WALM060,DeSoto,"Food and beverages",48.11,145.78,33
WALM084,Schertz,"Health and beauty",226.11,685.17,33
WALM064,Bedford,"Electronic accessories",241.72,732.48,33
WALM002,Dallas,"Sports and travel",91.21,253.36,36
WALM060,DeSoto,"Fashion accessories",1279.23,3876.46,33
WALM069,Rockwall,"Electronic accessories",571.44,1731.64,33
WALM096,"Eagle Pass","Sports and travel",30.82,93.38,33
WALM087,Waxahachie,"Electronic accessories",665.47,2016.58,33
WALM072,Lancaster,"Sports and travel",80.82,244.9,33
WALM098,"Mineral Wells","Health and beauty",16.7,92.78,18
WALM080,Nacogdoches,"Sports and travel",87.55,265.3,33
WALM086,Rosenberg,"Sports and travel",107.2,324.85,33
WALM082,Weslaco,"Health and beauty",30.13,91.3,33
WALM076,Huntsville,"Electronic accessories",184.37,558.7,33
WALM093,Angleton,"Electronic accessories",182.61,553.35,33
WALM093,Angleton,"Health and beauty",114.03,345.54,33
WALM092,"Lake Jackson","Health and beauty",138.04,418.3,33
WALM099,Weatherford,"Home and lifestyle",1576.27,8757.04,18
WALM057,Euless,"Home and lifestyle",765.57,2319.91,33
WALM077,Coppell,"Home and lifestyle",628.72,1905.22,33
WALM054,Sherman,"Electronic accessories",733.01,2221.25,33
WALM062,Galveston,"Home and lifestyle",1603.64,4859.52,33
WALM067,"Haltom City","Food and beverages",113.43,343.74,33
WALM097,Alice,"Electronic accessories",118.29,657.16,18
WALM074,Weslaco,"Health and beauty",9.74,29.52,33
WALM090,Brownwood,"Home and lifestyle",1267.53,3841,33
WALM068,Burleson,"Fashion accessories",992.64,3008,33
WALM053,Conroe,"Fashion accessories",1278.99,4299,29.75
WALM081,Friendswood,"Home and lifestyle",811.14,2458,33
WALM091,"Little Elm","Home and lifestyle",1222.98,3706,33
WALM068,Burleson,"Home and lifestyle",853.38,2586,33
WALM086,Rosenberg,"Fashion accessories",2719.86,8242,33
WALM065,"Texas City","Fashion accessories",2740.65,8305,33
WALM075,"San Marcos","Home and lifestyle",2647.59,8023,33
WALM090,Brownwood,"Fashion accessories",967.23,2931,33
WALM097,Alice,"Fashion accessories",444.24,2468,18
WALM092,"Lake Jackson","Fashion accessories",653.07,1979,33
WALM056,Rowlett,"Home and lifestyle",2521.2,7640,33
WALM069,Rockwall,"Home and lifestyle",3066.36,9292,33
WALM089,Southlake,"Fashion accessories",2956.8,8960,33
WALM064,Bedford,"Home and lifestyle",711.15,2155,33
WALM076,Huntsville,"Home and lifestyle",1026.63,3111,33
WALM067,"Haltom City","Fashion accessories",1209.12,3664,33
WALM054,Sherman,"Home and lifestyle",1575.42,7502,21
WALM065,"Texas City","Electronic accessories",190.74,578,33
WALM058,"Port Arthur","Electronic accessories",236.61,717,33
WALM084,Schertz,"Electronic accessories",303.27,919,33
