branch,shift,number_of_transactions
WALM065,Afternoon,68
WALM065,Evening,61
WALM065,Morning,47
WALM066,Evening,40
WALM066,Afternoon,26
WALM066,Morning,9
WALM067,Evening,33
WALM067,Afternoon,25
WALM067,Morning,15
WALM068,Evening,26
WALM068,Afternoon,24
WALM068,Morning,9
WALM069,Evening,97
WALM069,Afternoon,77
WALM069,Morning,48
WALM070,Evening,30
WALM070,Afternoon,27
WALM070,Morning,11
WALM071,Evening,31
WALM071,Afternoon,24
WALM071,Morning,14
WALM072,Evening,27
WALM072,Afternoon,27
WALM072,Morning,9
WALM073,Evening,68
WALM073,Afternoon,59
WALM073,Morning,36
WALM074,Afternoon,80
WALM074,Evening,72
WALM074,Morning,58
WALM075,Afternoon,88
WALM075,Evening,57
WALM075,Morning,43
WALM076,Evening,43
WALM076,Afternoon,20
WALM076,Morning,11
WALM077,Evening,31
WALM077,Afternoon,21
WALM077,Morning,13
WALM078,Evening,32
WALM078,Afternoon,31
WALM078,Morning,15
WALM079,Afternoon,28
WALM079,Evening,25
WALM079,Morning,12
WALM080,Evening,37
WALM080,Afternoon,24
WALM080,Morning,14
WALM081,Afternoon,30
WALM081,Evening,26
WALM081,Morning,12
WALM082,Afternoon,76
WALM082,Evening,65
WALM082,Morning,45
WALM083,Evening,33
WALM083,Afternoon,31
WALM083,Morning,8
WALM084,Evening,79
WALM084,Afternoon,78
WALM084,Morning,48
WALM085,Evening,39
WALM085,Afternoon,23
WALM085,Morning,13
WALM086,Afternoon,66
WALM086,Evening,63
WALM086,Morning,48
WALM087,Afternoon,77
WALM087,Evening,69
WALM087,Morning,46
WALM088,Evening,38
WALM088,Afternoon,25
WALM088,Morning,16
WALM089,Afternoon,70
WALM089,Morning,56
WALM089,Evening,56
WALM090,Evening,43
WALM090,Afternoon,21
WALM090,Morning,12
WALM091,Evening,36
WALM091,Afternoon,25
WALM091,Morning,15
WALM092,Afternoon,25
WALM092,Evening,18
WALM092,Morning,8
WALM093,Evening,30
WALM093,Afternoon,26
WALM093,Morning,11
WALM094,Evening,31
WALM094,Afternoon,26
WALM094,Morning,11
WALM095,Evening,41
WALM095,Afternoon,27
WALM095,Morning,15
WALM096,Afternoon,31
WALM096,Evening,30
WALM096,Morning,18
WALM097,Evening,35
WALM097,Afternoon,18
WALM097,Morning,14
WALM098,Evening,42
WALM098,Afternoon,15
WALM098,Morning,8
WALM099,Afternoon,83
WALM099,Evening,42
WALM099,Morning,40
WALM100,Evening,27
WALM100,Morning,19
WALM100,Afternoon,16
